lambda,k_alpha,k_epsilon,epsilon_0,beta,cumulative_mean,mean,std,max,min,median
0.5,0.0001,0.0001,0.2,,81.36613465664105,126.4586073123794,143.85998615535084,281.1231846880225,-425.3939570397464,199.61782172182194
0.5,0.0001,0.0001,0.2,,67.11628619634723,105.96528109527878,137.7968037996547,280.3971901395885,-428.66335859443706,176.54316037652217
0.5,0.0001,0.0001,0.2,,89.57740913709874,120.1328140792537,131.21151873070528,296.28059740612684,-401.9154891876989,183.52684625523452
0.5,0.0001,0.0001,0.2,,108.94491823136059,139.84221386814465,125.5312249747038,290.22130333923417,-411.18277562569335,196.39309420683253
0.5,0.0001,0.0001,0.2,,81.95860128022058,113.5466734838367,146.76238247305787,303.6525230494684,-386.693833047212,182.9776713398657
0.5,0.0001,0.0001,0.2,0.1,99.91618478877086,137.59991176913488,134.0040614649588,305.191738786532,-396.46160288459674,203.03827974958452
0.5,0.0001,0.0001,0.2,0.5,102.18179623149547,136.06229111493465,145.54912076073882,299.69678008248724,-532.3362686382568,208.89285282208954
0.5,0.0001,0.0001,0.2,0,86.34273130203702,122.6068676668127,139.88966849887498,300.9679334151609,-422.1164133779479,189.37077173452363
