k_epsilon,epsilon_0,cumulative_mean,mean,std,max,min,median
1e-07,0.5,-69.05404806431879,-21.736943347925454,68.62421811338915,275.7779957875273,-456.869688455766,-11.401371560436296
1e-06,0.5,-50.056031066051105,23.758218789209423,100.73129922483061,301.8729426431564,-513.8344488053244,-0.42378046747088405
1e-07,0.5,-70.12114754340786,-5.286884129572303,63.52117990218203,291.38832467379865,-448.59569046013945,-2.336839142249694
1e-06,0.5,-54.70584509773969,-12.526242522050081,49.4134934383104,262.0775048302115,-539.2415020971208,-10.455314277595733
1e-05,0.5,-27.10373864905607,13.617490334038783,92.25467198584084,304.54939459889795,-289.5759499166826,-7.911651620217626
0.0001,0.5,-43.40815183316246,-24.237289784783833,53.1229767058016,291.61296283714313,-289.83914978168747,-29.287782987373376
1e-07,0.2,-38.40358664830679,33.333181080202095,108.36911595717591,301.33192081665703,-535.4700438805683,2.0537731646322754
1e-06,0.2,-44.99414229580934,-10.946795526228641,67.16016034229635,303.4227277284027,-272.3835861885502,-18.189164347825
1e-05,0.2,-43.17969089523613,-24.081783485825625,47.37819853747534,279.5889241177007,-336.96218147421064,-23.111601007180376
0.0001,0.2,-28.43637598093827,-9.87172589947816,84.99899897733859,298.00988680314015,-399.6656752860324,-26.103141057764
1e-07,0.1,-39.95949935568741,-3.1080068906617098,78.7341505504617,302.55837269895454,-388.5205260350918,-7.9524044222105985
1e-06,0.1,-29.028073253452526,6.804414802140754,104.89348445300003,307.62797419531654,-469.5856341621849,-20.237471137119485
1e-05,0.1,-41.873611170819466,-25.797110792451168,44.49716712675164,291.3564118868628,-427.446969895304,-25.57192993027096
0.0001,0.1,-46.52571324998808,-33.09844410097947,48.028712604553554,305.7400383631775,-481.2446037696031,-36.86581660006029
1e-07,0.05,-35.334696136796126,-0.2075596132227497,86.03139776205637,291.9602199073568,-531.5974308100309,-14.424343915617762
1e-06,0.05,-43.95507673654145,-21.887524568886395,47.520849669588124,283.35275486062153,-298.7506168694087,-22.47852533980508
1e-05,0.05,-44.77459932693473,-31.03560749862113,42.71474352532233,306.9668391054022,-561.0216502931787,-29.221678193311533
0.0001,0.05,-42.93087357484298,-31.25932496096488,47.602199964841255,273.5649933031259,-342.73406644684553,-31.95641913365761
0.0012002,0.1,-109.00583437254447,-75.602200242564,60.15763196182958,97.09521594830737,-524.9636219133181,-66.65859011100441
